Game.ID,Date,Away.Team,Away.Team.ID,A.Score,DaysofRest.Away.Team,Home.Team,H.Team.ID,No.of.Players.H,No.of.Players.A,H.Score,DaysofRest.Home.Team,A.Player1,A.MP1,WA1,A.Player2,A.MP2,WA2,A.Player3,A.MP3,WA3,A.Player4,A.MP4,WA4,A.Player5,A.MP5,WA5,A.Player6,A.MP6,WA6,A.Player7,A.MP7,WA7,A.Player8,A.MP8,WA8,A.Player9,A.MP9,WA9,A.Player10,A.MP10,WA10,A.Player11,A.MP11,WA11,A.Player12,A.MP12,WA12,H.Player1,MP1,WH1,H.Player2,MP2,WH2,H.Player3,MP3,WH3,H.Player4,MP4,WH4,H.Player5,MP5,WH5,H.Player6,MP6,WH6,H.Player7,MP7,WH7,H.Player8,MP8,WH8,H.Player9,MP9,WH9,H.Player10,MP10,WH10,H.Player11,MP11,WH11,H.Player12,MP12,WH12
11,28/10/2015,New York Knicks,20,122,0,Milwaukee Bucks,17,11,11,97,0,75,29.26666667,0.121944444,456,28.75,0.119791667,315,24.25,0.101041667,439,19.86666667,0.082777778,272,17.96666667,0.074861111,327,24.8,0.103333333,239,24.18333333,0.100763889,319,23.48333333,0.097847222,131,21.31666667,0.088819444,326,19.51666667,0.081319444,93,6.6,0.0275,NA,0,0,305,35.31666667,0.147152778,179,34.51666667,0.143819444,368,33.88333333,0.141180556,240,30.05,0.125208333,86,19.48333333,0.081180556,181,29.31666667,0.122152778,258,16.53333333,0.068888889,110,14.73333333,0.061388889,426,12.68333333,0.052847222,254,10.1,0.042083333,375,3.383333333,0.014097222,NA,0,0
12,28/10/2015,San Antonio Spurs,27,106,0,Oklahoma City Thunder,21,10,10,112,0,288,35.31666667,0.147152778,323,31.9,0.132916667,113,29.18333333,0.121597222,494,25.95,0.108125,503,25.81666667,0.107569444,411,22.18333333,0.092430556,50,20.13333333,0.083888889,342,18.83333333,0.078472222,120,18,0.075,316,12.68333333,0.052847222,NA,0,0,NA,0,0,448,36.98333333,0.154097222,298,34.5,0.14375,459,33.96666667,0.141527778,479,29.56666667,0.123194444,25,16.58333333,0.069097222,156,24.08333333,0.100347222,34,21.63333333,0.090138889,136,21.4,0.089166667,107,12.91666667,0.053819444,387,8.366666667,0.034861111,NA,0,0,NA,0,0
13,28/10/2015,Washington Wizards,30,88,0,Orlando Magic,22,10,9,87,0,257,39.38333333,0.164097222,51,37.6,0.156666667,403,36.91666667,0.153819444,345,35.65,0.148541667,314,26,0.108333333,144,19.83333333,0.082638889,170,18.2,0.075833333,423,14.06666667,0.058611111,385,12.35,0.051458333,NA,0,0,NA,0,0,NA,0,0,522,35.96666667,0.149861111,151,34.76666667,0.144861111,500,31.08333333,0.129513889,394,28.48333333,0.118680556,164,26.98333333,0.112430556,354,25.26666667,0.105277778,70,21.01666667,0.087569444,2,17.01666667,0.070902778,135,14.73333333,0.061388889,225,4.683333333,0.019513889,NA,0,0,NA,0,0
14,28/10/2015,Dallas Mavericks,7,111,0,Phoenix Suns,24,12,12,95,0,431,33.15,0.139412631,527,26.1,0.109763791,534,25,0.10513773,137,20.71666667,0.087124133,128,20.05,0.08432046,236,25.73333333,0.108221771,193,24.76666667,0.104156445,133,23.18333333,0.097497722,147,17.31666667,0.072825401,80,14.65,0.06161071,255,3.65,0.015350109,280,3.466666667,0.014579099,57,34.41666667,0.150488267,157,31.38333333,0.137224894,519,17.01666667,0.074406063,356,11.21666667,0.049045329,406,9.166666667,0.040081621,132,21.33333333,0.093280863,259,20.21666667,0.088398193,481,20.11666667,0.087960939,376,17.63333333,0.077102463,36,17.4,0.076082204,471,15.25,0.066681242,11,13.55,0.059247923
15,28/10/2015,New Orleans Pelicans,19,94,1,Portland Trail Blazers,25,9,10,112,0,158,40.78333333,0.169930556,33,40.65,0.169375,114,31.35,0.130625,278,21.11666667,0.087986111,294,9.466666667,0.039444444,449,38.53333333,0.160555556,191,28.58333333,0.119097222,16,17.91666667,0.074652778,14,7.35,0.030625,382,4.25,0.017708333,NA,0,0,NA,0,0,68,37.38333333,0.155763889,109,35.9,0.149583333,366,34.03333333,0.141805556,5,31.13333333,0.129722222,360,18.88333333,0.078680556,150,29.11666667,0.121319444,15,21.56666667,0.089861111,364,18.21666667,0.075902778,395,13.76666667,0.057361111,NA,0,0,NA,0,0,NA,0,0
16,28/10/2015,Los Angeles Clippers,13,111,0,Sacramento Kings,26,11,11,104,0,46,38.25,0.159375,90,36.56666667,0.152361111,197,30.75,0.128125,121,27.1,0.112916667,324,19.13333333,0.079722222,415,24,0.1,204,21.13333333,0.088055556,277,16.3,0.067916667,39,16.11666667,0.067152778,526,10.6,0.044166667,97,0.05,0.000208333,NA,0,0,125,34.61666667,0.144236111,445,31.35,0.130625,421,25.25,0.105208333,310,22.53333333,0.093888889,42,20.06666667,0.083611111,346,31.95,0.133125,116,30.36666667,0.126527778,400,20.11666667,0.083819444,76,12.66666667,0.052777778,529,7.85,0.032708333,206,3.233333333,0.013472222,NA,0,0
17,28/10/2015,Indiana Pacers,12,99,0,Toronto Raptors,28,10,10,106,0,171,37.68333333,0.157024793,413,36.58333333,0.152441142,69,35.66666667,0.148621432,379,28.53333333,0.118897146,187,24.78333333,0.10327106,441,24.2,0.100840336,267,23.25,0.096881728,81,14.85,0.061879297,329,12.36666667,0.051531356,250,2.066666667,0.008611709,NA,0,0,NA,0,0,126,41.18333333,0.171597222,318,38.96666667,0.162361111,124,35.86666667,0.149444444,261,32.28333333,0.134513889,339,17.48333333,0.072847222,100,27.71666667,0.115486111,410,19.3,0.080416667,45,15.71666667,0.065486111,486,8.45,0.035208333,211,3.033333333,0.012638889,NA,0,0,NA,0,0
18,29/10/2015,Memphis Grizzlies,15,112,1,Indiana Pacers,12,10,10,103,1,343,32.51666667,0.135504931,370,30.26666667,0.126128629,533,29.53333333,0.123072649,103,29.23333333,0.121822475,502,22.2,0.092512849,232,29.13333333,0.121405751,361,21.13333333,0.088067787,43,17.8,0.074176969,52,15.4,0.06417558,215,12.75,0.053132379,NA,0,0,NA,0,0,171,38.76666667,0.161516561,413,34.66666667,0.144434414,379,32.26666667,0.134435109,187,29.5,0.122908131,267,19.81666667,0.082563711,441,25.51666667,0.106312062,69,20.76666667,0.086521769,381,17.96666667,0.074855913,81,13.33333333,0.055551698,329,7.416666667,0.030900632,NA,0,0,NA,0,0
19,29/10/2015,Dallas Mavericks,7,88,1,Los Angeles Clippers,13,12,11,104,1,255,35.3,0.147083333,431,25.25,0.105208333,137,25.03333333,0.104305556,236,24.03333333,0.100138889,534,18.36666667,0.076527778,133,23.18333333,0.096597222,80,23,0.095833333,193,21.18333333,0.088263889,147,19.06666667,0.079444444,280,18.36666667,0.076527778,453,7.216666667,0.030069444,NA,0,0,46,26.78333333,0.114917048,121,25.86666667,0.110983982,90,24.36666667,0.104548055,197,23.86666667,0.102402746,324,20.86666667,0.089530892,39,24.46666667,0.104977117,526,21.78333333,0.093463959,415,19.51666667,0.083738558,204,17.4,0.074656751,277,14.16666667,0.060783753,407,7.083333333,0.030391876,97,6.9,0.029605263
20,29/10/2015,Atlanta Hawks,1,112,2,New York Knicks,20,11,11,101,1,414,34.5,0.14375,317,32.25,0.134375,6,30.56666667,0.127361111,233,29.75,0.123958333,296,25.16666667,0.104861111,492,23.26666667,0.096944444,322,21,0.0875,127,18.25,0.076041667,282,12.93333333,0.053888889,374,11.16666667,0.046527778,524,1.15,0.004791667,NA,0,0,75,31.9,0.132916667,315,25.61666667,0.106736111,456,25.16666667,0.104861111,439,21.28333333,0.088680556,272,18.21666667,0.075902778,239,28.75,0.119791667,327,25.3,0.105416667,326,22.38333333,0.093263889,319,22.05,0.091875,131,18.11666667,0.075486111,93,1.216666667,0.005069444,NA,0,0
