"Game.ID","Date","Away.Team","Away.Team.ID","A.Score","away_week","DaysofRest.Away.Team","A_Streak","Home.Team","H.Team.ID","No.of.Players.H","No.of.Players.A","H.Score","home_week","DaysofRest.Home.Team","H_Streak"
53,"03/11/2015","Chicago Bulls",5,105,5,2,"W 1","Charlotte Hornets",4,12,12,130,4,2,"L 3"
54,"03/11/2015","Toronto Raptors",28,102,4,2,"W 3","Dallas Mavericks",7,10,12,91,4,2,"W 1"
55,"03/11/2015","Indiana Pacers",12,94,4,3,"L 3","Detroit Pistons",9,10,12,82,4,4,"W 3"
56,"03/11/2015","Denver Nuggets",8,120,4,2,"L 2","Los Angeles Lakers",14,10,12,109,4,2,"L 3"
57,"03/11/2015","Atlanta Hawks",1,98,5,2,"W 3","Miami Heat",16,10,11,92,4,2,"W 1"
58,"03/11/2015","Orlando Magic",22,103,4,2,"L 3","New Orleans Pelicans",19,11,11,94,4,3,"L 3"
59,"03/11/2015","Memphis Grizzlies",15,103,5,1,"L 1","Sacramento Kings",26,11,12,89,4,3,"L 1"
60,"04/11/2015","Brooklyn Nets",3,87,5,2,"L 4","Atlanta Hawks",1,12,12,101,6,1,"W 4"
61,"04/11/2015","New York Knicks",20,86,5,2,"L 1","Cleveland Cavaliers",6,12,11,96,5,2,"W 3"
62,"04/11/2015","Los Angeles Clippers",13,108,5,2,"W 4","Golden State Warriors",10,10,11,112,5,2,"W 4"
63,"04/11/2015","Orlando Magic",22,114,5,1,"W 1","Houston Rockets",11,11,11,119,5,2,"W 1"
64,"04/11/2015","Boston Celtics",2,98,4,3,"L 2","Indiana Pacers",12,12,10,100,5,1,"W 1"
65,"04/11/2015","Philadelphia 76ers",23,87,4,2,"L 3","Milwaukee Bucks",17,10,12,91,5,2,"W 1"
66,"04/11/2015","Toronto Raptors",28,103,5,1,"W 4","Oklahoma City Thunder",21,9,12,98,5,2,"L 1"
67,"04/11/2015","Sacramento Kings",26,97,5,1,"L 2","Phoenix Suns",24,12,12,118,5,2,"L 1"
68,"04/11/2015","Portland Trail Blazers",25,108,5,2,"W 1","Utah Jazz",29,9,12,92,4,4,"W 2"
69,"04/11/2015","San Antonio Spurs",27,99,5,2,"W 3","Washington Wizards",30,11,12,102,4,4,"L 1"
70,"05/11/2015","Oklahoma City Thunder",21,98,6,1,"L 2","Chicago Bulls",5,11,11,104,6,2,"L 1"
71,"05/11/2015","Charlotte Hornets",4,108,5,2,"W 1","Dallas Mavericks",7,12,12,94,5,2,"L 1"
72,"05/11/2015","Utah Jazz",29,96,5,1,"L 1","Denver Nuggets",8,12,12,84,5,2,"W 1"
73,"05/11/2015","Miami Heat",16,96,5,2,"L 1","Minnesota Timberwolves",18,11,12,84,4,3,"L 1"
74,"05/11/2015","Memphis Grizzlies",15,96,6,2,"W 1","Portland Trail Blazers",25,12,12,115,6,1,"W 2"
75,"06/11/2015","Washington Wizards",30,98,5,2,"W 1","Boston Celtics",2,12,12,118,5,2,"L 3"
76,"06/11/2015","Los Angeles Lakers",14,104,5,3,"L 4","Brooklyn Nets",3,11,11,98,6,2,"L 5"
77,"06/11/2015","Philadelphia 76ers",23,102,5,2,"L 4","Cleveland Cavaliers",6,11,12,108,6,2,"W 4"
78,"06/11/2015","Denver Nuggets",8,104,6,1,"L 1","Golden State Warriors",10,12,12,119,6,2,"W 5"
79,"06/11/2015","Miami Heat",16,87,6,1,"W 1","Indiana Pacers",12,9,11,90,6,2,"W 2"
80,"06/11/2015","Atlanta Hawks",1,121,7,2,"W 5","New Orleans Pelicans",19,10,11,115,5,3,"L 4"
81,"06/11/2015","Milwaukee Bucks",17,99,6,2,"W 2","New York Knicks",20,11,12,92,6,2,"L 2"
82,"06/11/2015","Toronto Raptors",28,87,6,2,"W 5","Orlando Magic",22,10,12,92,6,2,"L 1"
83,"06/11/2015","Detroit Pistons",9,100,5,3,"L 1","Phoenix Suns",24,9,12,92,6,2,"W 1"
84,"06/11/2015","Houston Rockets",11,116,6,2,"W 2","Sacramento Kings",26,11,11,110,6,2,"L 3"
85,"07/11/2015","Washington Wizards",30,99,6,1,"L 1","Atlanta Hawks",1,11,12,114,8,1,"W 6"
86,"07/11/2015","Minnesota Timberwolves",18,102,5,2,"L 2","Chicago Bulls",5,10,11,93,7,2,"W 1"
87,"07/11/2015","New Orleans Pelicans",19,98,6,1,"L 5","Dallas Mavericks",7,9,12,107,6,2,"L 2"
88,"07/11/2015","Houston Rockets",11,109,7,1,"W 3","Los Angeles Clippers",13,9,12,105,6,3,"L 1"
89,"07/11/2015","Brooklyn Nets",3,86,7,1,"L 6","Milwaukee Bucks",17,11,12,94,7,1,"W 3"
90,"07/11/2015","Orlando Magic",22,105,7,1,"W 1","Philadelphia 76ers",23,10,12,97,6,1,"L 5"
