Game.ID,Date,Away.Team,Away.Team.ID,A.Score,away_week,DaysofRest.Away.Team,Home.Team,H.Team.ID,No.of.Players.H,No.of.Players.A,H.Score,home_week,DaysofRest.Home.Team,A.Player1,WA1,A.MP1,A.Player2,WA2,A.MP2,A.Player3,WA3,A.MP3,A.Player4,WA4,A.MP4,A.Player5,WA5,A.MP5,A.Player6,WA6,A.MP6,A.Player7,WA7,A.MP7,A.Player8,WA8,A.MP8,A.Player9,WA9,A.MP9,A.Player10,WA10,A.MP10,A.Player11,WA11,A.MP11,A.Player12,WA12,A.Player9.1,A.MP9.1,A.Player10.1,A.MP10.1,A.Player11.1,A.MP11.1,A.Player12.1,A.MP12,H.Player1,WH1,MP1,H.Player2,WH2,MP2,H.Player3,WH3,MP3,H.Player4,WH4,MP4,H.Player5,WH5,MP5,H.Player6,WH6,MP6,H.Player7,WH7,MP7,H.Player8,WH8,MP8,H.Player9,WH9,MP9,H.Player10,WH10,MP10,H.Player11,WH11,MP11,H.Player12,WH12,MP12
11,28/10/2015,New York Knicks,20,122,1,0,Milwaukee Bucks,17,11,12,97,1,0,67,0.121944444,29.26666667,407,0.119791667,28.75,278,0.101041667,24.25,391,0.082777778,19.86666667,241,0.074861111,17.96666667,289,0.103333333,24.8,213,0.100763889,24.18333333,282,0.097847222,23.48333333,117,0.088819444,21.31666667,288,0.081319444,19.51666667,82,0.0275,6.6,NA,0,117,21.31666667,288,19.51666667,82,6.6,NA,0,271,0.147152778,35.31666667,162,0.143819444,34.51666667,325,0.141180556,33.88333333,214,0.125208333,30.05,75,0.081180556,19.48333333,164,0.122152778,29.31666667,228,0.068888889,16.53333333,97,0.061388889,14.73333333,379,0.052847222,12.68333333,225,0.042083333,10.1,332,0.014097222,3.383333333,157,0,0
12,28/10/2015,San Antonio Spurs,27,106,1,0,Oklahoma City Thunder,21,10,11,112,1,0,255,0.147152778,35.31666667,286,0.132916667,31.9,100,0.121597222,29.18333333,441,0.108125,25.95,448,0.107569444,25.81666667,366,0.092430556,22.18333333,46,0.083888889,20.13333333,303,0.078472222,18.83333333,106,0.075,18,279,0.052847222,12.68333333,NA,0,0,NA,0,106,18,279,12.68333333,NA,0,NA,0,400,0.154097222,36.98333333,265,0.14375,34.5,409,0.141527778,33.96666667,426,0.123194444,29.56666667,22,0.069097222,16.58333333,141,0.100347222,24.08333333,31,0.090138889,21.63333333,122,0.089166667,21.4,94,0.053819444,12.91666667,344,0.034861111,8.366666667,NA,0,0,NA,0,0
13,28/10/2015,Washington Wizards,30,88,1,0,Orlando Magic,22,9,11,87,1,0,227,0.164097222,39.38333333,47,0.156666667,37.6,359,0.153819444,36.91666667,306,0.148541667,35.65,277,0.108333333,26,129,0.082638889,19.83333333,153,0.075833333,18.2,377,0.058611111,14.06666667,342,0.051458333,12.35,NA,0,0,NA,0,0,NA,0,342,12.35,NA,0,NA,0,NA,0,466,0.149861111,35.96666667,136,0.144861111,34.76666667,445,0.129513889,31.08333333,351,0.118680556,28.48333333,147,0.112430556,26.98333333,312,0.105277778,25.26666667,62,0.087569444,21.01666667,2,0.070902778,17.01666667,121,0.061388889,14.73333333,201,0.019513889,4.683333333,NA,0,0,NA,0,0
14,28/10/2015,Dallas Mavericks,7,111,1,0,Phoenix Suns,24,12,12,95,1,0,383,0.139412631,33.15,471,0.109763791,26.1,478,0.10513773,25,123,0.087124133,20.71666667,114,0.08432046,20.05,210,0.108221771,25.73333333,175,0.104156445,24.76666667,119,0.097497722,23.18333333,132,0.072825401,17.31666667,71,0.06161071,14.65,226,0.015350109,3.65,248,0.014579099,132,17.31666667,71,14.65,226,3.65,248,3.466666667,52,0.150488267,34.41666667,142,0.137224894,31.38333333,463,0.074406063,17.01666667,314,0.049045329,11.21666667,361,0.040081621,9.166666667,118,0.093280863,21.33333333,229,0.088398193,20.21666667,428,0.087960939,20.11666667,333,0.077102463,17.63333333,33,0.076082204,17.4,419,0.066681242,15.25,11,0.059247923,13.55
15,28/10/2015,New Orleans Pelicans,19,94,2,1,Portland Trail Blazers,25,10,10,112,1,0,143,0.169930556,40.78333333,30,0.169375,40.65,101,0.130625,31.35,246,0.087986111,21.11666667,261,0.039444444,9.466666667,401,0.160555556,38.53333333,174,0.119097222,28.58333333,15,0.074652778,17.91666667,13,0.030625,7.35,339,0.017708333,4.25,NA,0,0,NA,0,13,7.35,339,4.25,NA,0,NA,0,60,0.155763889,37.38333333,96,0.149583333,35.9,323,0.141805556,34.03333333,5,0.129722222,31.13333333,317,0.078680556,18.88333333,135,0.121319444,29.11666667,14,0.089861111,21.56666667,321,0.075902778,18.21666667,352,0.057361111,13.76666667,NA,0,0,NA,0,0,NA,0,0
16,28/10/2015,Los Angeles Clippers,13,111,1,0,Sacramento Kings,26,11,12,104,1,0,42,0.159375,38.25,79,0.152361111,36.56666667,178,0.128125,30.75,107,0.112916667,27.1,287,0.079722222,19.13333333,370,0.1,24,184,0.088055556,21.13333333,245,0.067916667,16.3,36,0.067152778,16.11666667,470,0.044166667,10.6,86,0.000208333,0.05,NA,0,36,16.11666667,470,10.6,86,0.05,NA,0,111,0.144236111,34.61666667,397,0.130625,31.35,375,0.105208333,25.25,275,0.093888889,22.53333333,39,0.083611111,20.06666667,307,0.133125,31.95,103,0.126527778,30.36666667,357,0.083819444,20.11666667,68,0.052777778,12.66666667,473,0.032708333,7.85,186,0.013472222,3.233333333,NA,0,0
17,28/10/2015,Indiana Pacers,12,99,1,0,Toronto Raptors,28,10,11,106,1,0,154,0.157024793,37.68333333,368,0.152441142,36.58333333,61,0.148621432,35.66666667,336,0.118897146,28.53333333,170,0.10327106,24.78333333,393,0.100840336,24.2,237,0.096881728,23.25,72,0.061879297,14.85,291,0.051531356,12.36666667,222,0.008611709,2.066666667,NA,0,0,NA,0,291,12.36666667,222,2.066666667,NA,0,NA,0,112,0.171597222,41.18333333,281,0.162361111,38.96666667,110,0.149444444,35.86666667,231,0.134513889,32.28333333,300,0.072847222,17.48333333,89,0.115486111,27.71666667,365,0.080416667,19.3,41,0.065486111,15.71666667,433,0.035208333,8.45,189,0.012638889,3.033333333,NA,0,0,NA,0,0
18,29/10/2015,Memphis Grizzlies,15,112,2,1,Indiana Pacers,12,10,11,103,2,1,304,0.135504931,32.51666667,327,0.126128629,30.26666667,477,0.123072649,29.53333333,91,0.121822475,29.23333333,447,0.092512849,22.2,206,0.121405751,29.13333333,318,0.088067787,21.13333333,40,0.074176969,17.8,48,0.06417558,15.4,193,0.053132379,12.75,NA,0,0,NA,0,48,15.4,193,12.75,NA,0,NA,0,154,0.161516561,38.76666667,368,0.144434414,34.66666667,336,0.134435109,32.26666667,170,0.122908131,29.5,237,0.082563711,19.81666667,393,0.106312062,25.51666667,61,0.086521769,20.76666667,338,0.074855913,17.96666667,72,0.055551698,13.33333333,291,0.030900632,7.416666667,NA,0,0,NA,0,0
19,29/10/2015,Dallas Mavericks,7,88,2,1,Los Angeles Clippers,13,11,12,104,2,1,226,0.147083333,35.3,383,0.105208333,25.25,123,0.104305556,25.03333333,210,0.100138889,24.03333333,478,0.076527778,18.36666667,119,0.096597222,23.18333333,71,0.095833333,23,175,0.088263889,21.18333333,132,0.079444444,19.06666667,248,0.076527778,18.36666667,404,0.030069444,7.216666667,NA,0,132,19.06666667,248,18.36666667,404,7.216666667,NA,0,42,0.114917048,26.78333333,107,0.110983982,25.86666667,79,0.104548055,24.36666667,178,0.102402746,23.86666667,287,0.089530892,20.86666667,36,0.104977117,24.46666667,470,0.093463959,21.78333333,370,0.083738558,19.51666667,184,0.074656751,17.4,245,0.060783753,14.16666667,362,0.030391876,7.083333333,86,0.029605263,6.9
20,29/10/2015,Atlanta Hawks,1,112,2,2,New York Knicks,20,11,12,101,2,1,369,0.14375,34.5,280,0.134375,32.25,6,0.127361111,30.56666667,207,0.123958333,29.75,263,0.104861111,25.16666667,439,0.096944444,23.26666667,285,0.0875,21,113,0.076041667,18.25,250,0.053888889,12.93333333,331,0.046527778,11.16666667,468,0.004791667,1.15,NA,0,250,12.93333333,331,11.16666667,468,1.15,NA,0,67,0.132916667,31.9,278,0.106736111,25.61666667,407,0.104861111,25.16666667,391,0.088680556,21.28333333,241,0.075902778,18.21666667,213,0.119791667,28.75,289,0.105416667,25.3,288,0.093263889,22.38333333,282,0.091875,22.05,117,0.075486111,18.11666667,82,0.005069444,1.216666667,NA,0,0
